strategy,best_fitness,sel_compute,sel_kernel,sel_total,cross_compute,cross_kernel,cross_total,mut_compute,mut_kernel,mut_total,repl_compute,repl_kernel,repl_total,mig_compute,mig_kernel,mig_total,updPop_compute,updPop_kernel,updPop_total,updOff_compute,updOff_kernel,updOff_total,compute_time,kernel_time,total_time
CPU,1.09E-05,7.97292,0,12.8261,533.183,0,538.193,27.4304,0,32.3388,77.4492,0,105.715,0.0591889,0,28.3096,9.41712,0,37.6115,9.35599,0,14.2063,664.868,0,769.201
CUDA,1.21E-05,8.57515,0,13.525,23.7567,20.7788,34.8646,4.03095,1.0022,9.18151,6.50743,1.1594,11.6402,0.0544245,0,28.7023,1.94418,0.458454,1.96149,1.97177,0.440229,1.98944,46.8406,23.839,101.864
CUDA_SELECTION,1.11E-05,8.12427,0,13.0655,547.794,0,552.896,27.9211,0,32.909,78.5541,0,107.429,0.0532743,0,28.8972,9.64716,0,38.516,9.55944,0,14.5363,681.654,0,788.249
CUDA_CROSS,1.14E-05,8.23692,0,13.2048,37.2069,32.9188,48.0785,27.9682,0,32.9823,78.9793,0,107.856,0.0522702,0,28.9789,9.65291,0,38.5267,9.57513,0,14.5615,171.672,32.9188,284.189
CUDA_MUTATION,1.11E-05,8.25535,0,13.245,543.443,0,548.544,6.99221,2.56089,12.2107,78.6798,0,107.361,0.060498,0,28.7089,9.62052,0,38.294,9.58333,0,14.5895,656.635,2.56089,762.953
CUDA_REPLACEMENT,1.15E-05,8.14001,0,13.0785,541.9,0,546.968,27.8926,0,32.9031,10.7221,3.07425,15.8457,0.0560803,0,28.6485,9.60622,0,38.2563,9.54256,0,14.5082,607.86,3.07425,690.209
CUDA_MIGRATION,1.10E-05,8.17034,0,13.1169,543.379,0,548.437,27.9024,0,32.8919,79.1428,0,107.912,0.0589425,0,28.8175,9.61774,0,38.3256,9.52772,0,14.4951,677.799,0,783.996
CUDA_UPDATE_POPULATION,1.12E-05,8.21854,0,13.1798,543.309,0,548.386,27.9809,0,33.0207,78.7714,0,107.469,0.0591335,0,28.7438,3.1413,1.06387,3.15899,9.55077,0,14.524,671.032,1.06387,748.482
CUDA_UPDATE_OFFSPRING,1.12E-05,8.3069,0,13.3105,543.287,0,548.386,28.1608,0,33.2369,79.0871,0,107.772,0.0607621,0,28.7261,9.66091,0,38.3333,3.23529,1.23653,3.25361,671.799,1.23653,773.019
CUDA_UPDATE_ALL_FITNESS,1.09E-05,8.2354,0,13.2035,544.425,0,549.496,27.9302,0,32.9569,78.8178,0,107.595,0.0592805,0,28.7384,3.17979,1.14433,3.19891,3.33186,1.28778,3.34977,665.979,2.43211,738.539
