strategy,best_fitness,sel_compute,sel_kernel,sel_total,cross_compute,cross_kernel,cross_total,mut_compute,mut_kernel,mut_total,repl_compute,repl_kernel,repl_total,mig_compute,mig_kernel,mig_total,updPop_compute,updPop_kernel,updPop_total,updOff_compute,updOff_kernel,updOff_total,compute_time,kernel_time,total_time
CPU,1.06E-05,8.17765,0,13.1069,545.868,0,550.943,27.6579,0,32.6783,78.363,0,107.026,0.0579517,0,28.7736,9.61408,0,38.2738,9.50438,0,14.4835,679.243,0,785.285
CUDA,1.20E-05,8.44048,0,13.4707,17.3739,14.8556,28.3618,3.28793,0.797374,8.52849,5.01491,0.799759,10.2062,0.056189,0,28.8207,1.78562,0.51992,1.80361,1.63962,0.386378,1.65686,37.5987,17.359,92.8484
CUDA_SELECTION,1.11E-05,8.21502,0,13.1926,547.737,0,552.833,27.929,0,32.9856,78.7779,0,107.704,0.0584881,0,28.9997,9.71164,0,38.6466,9.61592,0,14.6236,682.045,0,788.985
CUDA_CROSS,1.11E-05,8.12603,0,13.0582,35.6062,30.9082,46.292,27.459,0,32.4,78.1274,0,106.742,0.0541528,0,28.6002,9.53734,0,37.9964,9.44805,0,14.3153,168.358,30.9082,279.404
CUDA_MUTATION,1.16E-05,8.19011,0,13.1558,543.066,0,548.129,6.42782,2.18049,11.6323,78.3417,0,107.096,0.0563984,0,28.8221,9.58884,0,38.1813,9.53564,0,14.5114,655.206,2.18049,761.528
CUDA_REPLACEMENT,1.17E-05,8.14954,0,13.0646,547.998,0,553.097,27.9332,0,32.9922,10.6043,2.49933,15.7425,0.0546117,0,28.7702,9.62079,0,38.4025,9.60495,0,14.5912,613.966,2.49933,696.661
CUDA_MIGRATION,1.12E-05,8.20769,0,13.1523,540.014,0,545.073,27.6689,0,32.688,79.0263,0,107.722,0.0582574,0,28.7117,9.54364,0,38.151,9.55813,0,14.5467,674.077,0,780.044
CUDA_UPDATE_POPULATION,1.12E-05,8.1752,0,13.0935,535.914,0,540.949,27.5215,0,32.5081,78.5599,0,106.994,0.0598464,0,28.4814,3.34548,1.23057,3.36241,9.45602,0,14.3956,663.032,1.23057,739.783
CUDA_UPDATE_OFFSPRING,1.08E-05,8.16025,0,13.0881,535.211,0,540.227,27.4933,0,32.4836,77.6652,0,106.025,0.0590659,0,28.4113,9.51358,0,37.9039,3.27035,1.13932,3.28811,661.373,1.13932,761.426
CUDA_UPDATE_ALL_FITNESS,1.09E-05,8.0559,0,13.2697,534.016,0,539.01,27.1926,0,32.0969,77.95,0,106.144,0.0549199,0,28.2521,3.48683,1.08366,3.50342,3.75111,1.30425,3.76813,654.507,2.38792,726.044
